Pollinator Library ID,Determined By,Order,Family,Genus,Species,Origin Facility,Date,Time,Collected By,Plant Order,Plant Family,Plant Genus,Plant Species,Land Use,State Collected,County Collected,Elevation (m),Longitude,Latitude,Average Wind Speed (km/h),Air temperature (°C),Relative Humidity (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_043,Sara Clark,Hymenoptera,Colletidae,Hylaeus,affinis,Northern Prairie Wildlife Research Center,20120618,N/A,Russ Bryant,Rosales,Rosaceae,Rosa,arkansana,National Wildlife Refuge,North Dakota,Richland,330,-96.97,46.07,6,26,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_044,Sara Clark,Hymenoptera,Apidae,Bombus,griseocollis,Northern Prairie Wildlife Research Center,20120618,N/A,Russ Bryant,Gentianales,Asclepiadaceae,Asclepias,speciosa,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,6,26,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_045,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120618,N/A,Russ Bryant,Gentianales,Asclepiadaceae,Asclepias,speciosa,National Wildlife Refuge,North Dakota,Richland,330,-96.97,46.07,6,26,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_046,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120618,N/A,Russ Bryant,Apiales,Apiaceae,Cicuta,sp.,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,6,26,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_047,Sara Clark,Diptera,Calliphoridae,Lucilia,sp.,Northern Prairie Wildlife Research Center,20120618,N/A,Russ Bryant,Apiales,Apiaceae,Cicuta,sp.,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,6,26,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_048,Sara Clark,Hymenoptera,Apidae,Bombus,vagans,Northern Prairie Wildlife Research Center,20120620,N/A,Russ Bryant,Fabales,Fabaceae,Medicago,sativa,National Wildlife Refuge,North Dakota,Stutsman,462,-98.86,47.21,5,26,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_049,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120620,N/A,Russ Bryant,Asterales,Asteraceae,Tragopogon,dubius,Conservation Reserve Program,North Dakota,Stutsman,469,-98.89,47.32,9,19,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_050,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120621,N/A,Russ Bryant,Asterales,Asteraceae,Taraxacum,sp.,National Wildlife Refuge,North Dakota,Stutsman,464,-98.86,47.21,10,23,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_051,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120621,N/A,Russ Bryant,Capparales,Brassicaceae,Erysimum,asperum,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,20,23,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_052,Sara Clark,Hymenoptera,Apidae,Ceratina,calcarata/dupla,Northern Prairie Wildlife Research Center,20120626,N/A,Russ Bryant,Rosales,Rosaceae,Rosa,arkansana,National Wildlife Refuge,North Dakota,McIntosh,627,-99.29,46.14,10,25,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_053,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120628,N/A,Russ Bryant,Ranunculales,Ranunculaceae,Anemone,canadensis,National Wildlife Refuge,North Dakota,Benson,488,-98.99,47.96,13,26,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_054,Sara Clark,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20120628,N/A,Russ Bryant,Asterales,Asteraceae,Cirsium,arvense,National Wildlife Refuge,North Dakota,Benson,486,-99.00,47.96,13,26,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_055,Sara Clark,Hymenoptera,Apidae,Bombus,rufocinctus,Northern Prairie Wildlife Research Center,20120628,N/A,Russ Bryant,Cyperales,Poaceae,Bromus,inermis,Conservation Reserve Program,North Dakota,Benson,462,-99.03,47.91,16,26,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
